nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
29797,35613093.32358228,58376.715440530796,3475,3641,7103,15570,0.0
29803,35345269.08246854,57969.8188720691,3456,3645,7128,15568,0.0
29809,35320335.22267993,57425.923933965096,3501,3740,7148,15414,0.0
29815,35612981.99425264,56616.04139739754,3611,3840,7104,15254,0.0
29821,35482810.19147275,56483.58629111588,3611,3704,7185,15315,0.0
29827,35492794.091027476,56299.21681847028,3584,3721,7203,15313,0.0
29833,35163296.817659244,56600.397040970965,3508,3722,7181,15416,0.0
29839,35264186.99850788,56153.10483833236,3545,3784,7184,15320,0.0
29845,35469687.30772108,56095.49265567195,3572,3831,7180,15256,0.0
29851,35433211.19868673,56024.22735218986,3584,3843,7222,15196,0.0
29857,35153835.9673119,56248.285149856965,3508,3734,7290,15319,0.0
29863,35592523.310037784,55772.16979196123,3581,3815,7339,15122,0.0
29869,35551710.38520342,55837.50129317132,3601,3678,7407,15177,0.0
29875,35200018.188051276,55928.64758110602,3506,3797,7320,15246,0.0
29881,35850721.42133341,55654.201285305055,3691,3716,7362,15106,0.0
29887,35549800.7233061,55680.49137770742,3575,3752,7308,15246,0.0
29893,35548130.75272163,55477.35373813998,3578,3804,7383,15122,0.0
29899,35608429.58579808,55605.81941584756,3610,3702,7395,15186,0.0
29905,35643801.65331782,55623.301553528836,3589,3747,7441,15122,0.0
29911,35617257.366546735,55784.63398206989,3598,3737,7303,15267,0.0
29917,35804173.62209018,55768.51127984385,3673,3808,7219,15211,0.0
29923,35713661.57338748,55555.703646302936,3611,3750,7340,15216,0.0
29929,35435655.96059838,55604.37620348975,3551,3704,7492,15176,0.0
29935,35878145.39727159,55134.07442943452,3624,3809,7417,15079,0.0
29941,35503736.2533773,55874.725860526574,3593,3642,7437,15263,0.0
29947,35526938.24894095,55571.7768242657,3561,3728,7438,15214,0.0
29953,35798915.805933185,55299.04960322217,3647,3722,7425,15153,0.0
29959,35932462.6898132,54984.022479983556,3624,3701,7590,15038,0.0
