nb_people,total_electric,switched_to_electric,total_relocations
30151,1961,590,188
30511,2467,502,3197
30871,2951,476,6257
31231,3401,442,9317
31591,3841,428,12377
31951,4260,411,15437
32311,4647,380,18497
32671,5020,368,21557
33031,5383,357,24617
33391,5719,331,27677
33751,6036,308,30737
34126,6339,300,33797
34546,6627,280,36857
34966,6887,247,39917
35386,7136,240,42977
35806,7372,230,46037
36226,7563,182,49097
36646,7747,180,52157
37066,7935,180,55217
37486,8125,180,58277
37906,8313,180,61337
38326,8498,180,64397
38746,8685,180,67394
39166,8875,180,70312
39586,9068,180,73240
40006,9262,180,76093
40457,9453,180,79102
40937,9639,180,82156
41417,9831,180,85208
41897,10021,180,88268
42377,10216,180,91328
