nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
30230,36153931.37867677,58095.77654889841,3662,3799,7276,15485,0.0
30236,35871469.39692128,57998.03863202138,3654,3761,7231,15584,0.0
30242,36065765.91491393,57605.537177188366,3779,3661,7262,15534,0.0
30248,35947458.25426546,57314.88496982742,3766,3829,7069,15578,0.0
30254,35951687.5474025,56368.60227804287,3750,3836,7326,15336,0.0
30260,35860521.77243781,56467.210500472385,3753,3776,7298,15427,0.0
30266,35919250.43600163,56596.230578861876,3779,3760,7283,15438,0.0
30272,35832459.52178791,56579.51978957079,3765,3781,7256,15464,0.0
30278,35922406.17945416,56539.074491409614,3748,3753,7282,15489,0.0
30284,36067146.48997151,56365.92357669484,3796,3769,7362,15351,0.0
30290,35900768.67901661,56508.17421110685,3752,3752,7344,15436,0.0
30296,36114106.756286345,56092.88258053967,3776,3783,7450,15281,0.0
30302,36017888.82293677,56154.214219798574,3769,3839,7319,15369,0.0
30308,36046249.87261227,56236.6527890981,3783,3822,7306,15391,0.0
30314,35745739.55614343,56554.00446215697,3717,3772,7298,15521,0.0
30320,36029687.77840954,56228.98451581795,3788,3789,7322,15415,0.0
30326,36037506.34413562,55989.695222504204,3737,3834,7431,15318,0.0
30332,36215475.78616158,55924.54664612692,3753,3887,7400,15286,0.0
30338,36362161.074909866,55827.692505992585,3840,3764,7442,15286,0.0
30344,36438186.013865285,55264.66179288973,3819,3889,7524,15106,0.0
30350,36312544.387050785,55360.182623383764,3782,3989,7449,15124,0.0
30356,36133857.5011901,55678.21204932401,3751,3846,7476,15277,0.0
30362,36298628.51543629,55754.2708087252,3827,3857,7379,15293,0.0
30368,36445863.990917966,55442.238178948595,3848,3894,7402,15218,0.0
30374,36242369.59582531,55554.40243534873,3791,3693,7653,15231,0.0
30380,36157038.928240575,55466.51732090498,3746,3814,7584,15230,0.0
30386,36323014.5722711,55358.960590918694,3751,3838,7554,15237,0.0
30392,36362103.5858649,55226.71809990532,3769,3924,7513,15180,0.0
30398,36506045.345639534,55333.59170631658,3826,3850,7560,15156,0.0
30404,36208792.6430615,55209.87469899757,3759,3803,7658,15178,0.0
30410,36563373.177563146,55059.75579700632,3830,3822,7613,15139,0.0
30416,36662435.16615497,55116.84709861418,3889,3816,7522,15183,0.0
30422,36345438.370319374,54910.74406510185,3747,3839,7691,15139,0.0
30428,36335566.94121241,55198.344248793765,3761,3890,7559,15212,0.0
30434,36568672.113389105,54594.85037001429,3766,3853,7775,15034,0.0
30440,36535191.1096237,55022.09826271954,3834,3773,7685,15142,0.0
