nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
30199,35712468.990543574,59532.851544649384,3522,3676,7069,15924,0.0
30205,35679419.21811197,58214.50326357135,3487,3857,7282,15573,0.0
30211,35935899.75027053,57922.51109420522,3626,3727,7272,15580,0.0
30217,35613261.17779966,57526.74955676384,3542,3776,7272,15621,0.0
30223,35854516.03986184,56965.03411564279,3626,3813,7214,15564,0.0
30229,35926988.184325054,56744.27087958855,3649,3761,7340,15473,0.0
30235,35920346.883082956,56532.78081417922,3619,3746,7418,15446,0.0
30241,35962282.74456445,56581.08642972351,3621,3840,7260,15514,0.0
30247,35837753.72676459,56451.50552130425,3617,3738,7389,15497,0.0
30253,35684894.475262135,56456.27699339873,3561,3842,7348,15496,0.0
30259,36256968.83672358,55970.51604632459,3727,3719,7457,15350,0.0
30265,36104992.52445727,55931.55930692511,3684,3775,7396,15404,0.0
30271,36105155.062097676,55899.340163403394,3668,3775,7468,15354,0.0
30277,36162613.89473055,56023.263183078816,3687,3806,7371,15407,0.0
30283,35976492.70174819,56089.49440794151,3641,3786,7333,15517,0.0
30289,36066788.24937387,55744.090200215855,3671,3797,7369,15446,0.0
30295,36230382.42083385,55351.4206670399,3682,3798,7491,15318,0.0
30301,36117183.16907465,55573.62870988975,3665,3801,7476,15353,0.0
30307,36193690.5992604,55323.51271708934,3679,3752,7547,15323,0.0
30313,36108974.50876149,55372.98520942693,3641,3839,7422,15405,0.0
30319,36319758.515739374,55205.69675355087,3704,3839,7481,15289,0.0
30325,36140272.416045375,55274.01769030737,3641,3745,7535,15398,0.0
30331,35972640.44055287,55469.35615777164,3637,3696,7468,15524,0.0
30337,36093659.45753923,55081.98409454518,3653,3747,7575,15356,0.0
30343,36399699.00397819,54801.20040285002,3711,3850,7521,15255,0.0
30349,36412480.634501725,54873.59202143699,3695,3830,7478,15340,0.0
30355,36276671.50242417,54611.851372894016,3648,3928,7569,15204,0.0
30361,36357795.92153955,54754.75654320718,3670,3770,7607,15308,0.0
30367,36323608.646795146,54351.53853810313,3635,3802,7630,15294,0.0
30373,36284427.170100674,54590.43924997192,3676,3804,7588,15299,0.0
30379,36576832.41776655,54533.42163585379,3772,3683,7611,15307,0.0
30385,36193624.85550821,54181.82730264701,3632,3890,7589,15268,0.0
30391,36340521.10294167,54309.50037593911,3662,3786,7624,15313,0.0
30397,36550758.13889664,53917.40166684319,3716,3813,7608,15254,0.0
30403,36526770.21637305,53778.545467274445,3712,3794,7647,15244,0.0
30409,36604210.01650584,53765.45873161224,3710,3845,7690,15158,0.0
30415,36578642.45033521,53460.03205972095,3695,3773,7758,15183,0.0
30421,36597241.55955981,53683.97226087541,3739,3807,7727,15142,0.0
30427,36628025.45292197,53506.79111039623,3701,3839,7752,15129,0.0
30433,36767021.520736985,53159.94915582861,3734,3844,7722,15127,0.0
30439,36382421.48697669,53819.90460345717,3700,3756,7633,15344,0.0
30445,36630109.996667124,53376.67662281411,3742,3800,7714,15183,0.0
30451,36575330.636256956,53355.431353034954,3693,3748,7779,15225,0.0
30457,36735454.60046857,52866.5681127444,3730,3817,7855,15049,0.0
30463,36597126.75213913,53175.545656217255,3699,3819,7732,15207,0.0
30469,36599051.70160082,52612.69094337859,3641,3916,7821,15085,0.0
30475,36692804.21818436,52627.42248286364,3736,3835,7791,15107,0.0
30481,36748314.769553706,52422.254926147994,3708,3829,7888,15050,0.0
30487,36651549.827180855,52292.41402769363,3660,3927,7885,15009,0.0
30493,36912739.04977288,52289.560380955656,3724,3836,7872,15055,0.0
30499,36764501.07399232,52305.62158196935,3727,3875,7841,15050,0.0
30505,36759717.17531987,51955.17912675979,3687,3884,7990,14938,0.0
30511,36501052.99242814,52121.37970227989,3661,3875,7864,15105,0.0
30517,36649761.29247932,52237.9419186307,3688,3800,7943,15080,0.0
30523,36858558.07852708,51517.93845946513,3702,3848,8026,14941,0.0
30529,36956439.57330206,51987.06992792986,3769,3907,7826,15021,0.0
30535,36873376.300233856,51653.20787223963,3706,3899,7948,14976,0.0
30541,37092259.13892938,51581.361679556685,3762,3960,7901,14912,0.0
30547,36997612.56741522,51648.231323090055,3753,3860,7930,14998,0.0
30553,36601082.23648555,51765.50604962409,3659,3841,7900,15147,0.0
30559,36655120.79503908,52751.09008699445,3728,3857,7677,15291,208580.77691822936
30565,36674538.640538044,52759.36928491015,3748,3904,7550,15357,208063.21663745196
30571,36724998.90099928,52369.630381457486,3756,3886,7652,15271,207679.10214744043
30577,36822972.61953442,52130.0877491907,3794,3852,7723,15202,207456.5102482568
30583,36863491.397483885,52189.436972821844,3829,3761,7703,15284,207084.8157990373
30589,36784746.40104611,51707.418863455634,3799,3891,7755,15138,206735.73906405258
30595,36728977.79392562,51670.7777532977,3827,3865,7767,15130,206520.0880085806
30601,36864223.23718578,51318.34039441132,3858,3879,7783,15075,206139.79914207623
30607,37015652.74285544,50892.82325437253,3874,3952,7778,14997,205787.86864075743
30613,36668590.068413965,51013.10845741847,3841,3861,7857,15048,205234.33772328732
30619,36804046.87986115,50416.829310649875,3865,3863,7982,14903,204642.881481184
30625,37013658.50066097,50182.51805376588,3966,3851,7835,14967,204362.63931606675
30631,36587868.13642986,50089.622050896294,3873,3870,7943,14939,204128.53491728837
30637,37040883.03234761,49616.548550141335,3978,3889,7966,14798,203897.91441700663
30643,36889889.83727179,49444.91592405883,3946,3959,7960,14772,203652.2676315223
30649,36833258.12544994,49281.49471769218,3940,3878,8027,14798,203427.7351899608
30655,37073299.988307975,49351.8204304532,4038,3949,7840,14822,203183.10313030815
30661,36930617.44463162,49259.25007110278,4012,3932,7837,14874,202805.26005567028
30667,36542476.061951876,49260.609219242884,3933,3922,7881,14925,202444.09348296584
30673,37119507.15730805,48508.53907137223,4091,3931,7881,14764,201936.58395343873
30679,36958173.729464695,48777.90462316695,4080,3863,8017,14713,201478.54199549506
30685,36740034.889667034,48297.591159740085,4040,3890,7981,14768,201179.0760443825
30691,36855695.198493406,47678.226135776,4049,4016,8080,14540,200905.35595172577
30697,37023723.689756006,47810.55195181058,4114,3891,8120,14566,200485.92531835262
30703,36902033.73091305,47484.59680076659,4072,3945,8110,14570,200221.39247283986
30709,36981689.74709766,47159.05282723832,4064,4011,8126,14502,199867.55023435
30715,37043439.13392486,46941.75578449504,4120,3937,8176,14476,199258.63683985994
30721,37016625.22877755,46676.63742945063,4108,4046,8140,14421,198762.4664113933
30727,36746457.197149195,46862.50110045118,4102,3972,8098,14549,198228.2185738561
30733,37076947.71244735,46449.057109748326,4234,3985,8139,14369,197676.41995094233
30739,36756551.57965455,46270.94813701216,4137,3954,8245,14397,197232.07117067368
30745,36925446.017897375,46068.517393889655,4195,4022,8162,14360,196743.18317964088
30751,37129329.487697646,45445.18182563819,4240,4085,8184,14236,196385.0468961003
30757,37159638.69592084,45190.01206873788,4270,4004,8356,14121,196100.6352549496
30763,36732925.28350397,45222.00680670439,4144,3983,8409,14221,195803.22305116677
30769,37287126.93823102,44935.94248587469,4332,4101,8238,14092,195400.06224871424
30775,37237445.13934155,44823.567542696845,4364,4013,8284,14108,195037.0171778571
30781,37180102.44779552,44120.82505982923,4355,4123,8342,13955,194767.46220830816
30787,37486934.802002646,44183.88510787566,4453,4052,8346,13930,194490.4181225581
30793,37271235.73711782,43982.064084291334,4385,3995,8444,13963,194179.87708705943
30799,37357660.75333409,43542.2541583114,4441,4027,8446,13879,193866.23392285308
30805,37681985.40521617,43294.78022073831,4538,4052,8381,13828,193488.24138357816
30811,37549677.19588281,43129.206988526996,4571,4001,8427,13806,193239.66966225154
30817,37392042.326055065,42895.46877687225,4526,4048,8525,13712,192897.27410141708
30823,37411613.00725083,42553.071818504235,4553,3999,8581,13684,192632.3657590707
30829,37357546.81341918,42594.44639700593,4549,4138,8406,13730,192331.06338217668
30835,37638728.81293869,41870.07521930681,4592,4118,8642,13477,191946.88611167882
30841,37285560.82379755,42074.14038196572,4572,4050,8514,13699,191419.93639220123
30847,37460027.89112529,41828.353853806366,4593,4122,8469,13657,191238.00029570019
30853,37678078.61387745,41564.78589589108,4715,4066,8511,13555,190384.17573483576
30859,37551980.10390648,41175.05308079514,4675,4088,8595,13495,189975.03359710355
30865,37606105.00225534,41048.491920483975,4695,4041,8657,13466,189689.48973775163
30871,37701613.021682225,40824.95281897426,4745,4083,8601,13436,189405.40696955498
30877,37479229.86272633,40724.378432008205,4717,4084,8609,13461,189170.3482356822
30883,37610430.06580744,40594.61512636532,4753,4070,8600,13454,188908.1706919638
30889,37737763.27252336,40393.02541354801,4792,4095,8609,13387,188651.26270123833
30895,37579088.14625856,40105.39741847034,4755,4000,8746,13388,188178.7223039531
30901,37643289.429909736,39874.09788053181,4822,4036,8680,13357,187871.3111636492
30907,37519285.389167875,39732.72572727308,4784,4171,8619,13327,187588.3083724158
30913,37684265.97402411,39275.17677629112,4873,4090,8776,13168,187228.11885373783
30919,37182415.84706592,40393.33513966602,4795,4096,8485,13537,211185.93918598702
30925,37334964.01061141,40204.64035461956,4881,4107,8476,13455,211022.38989368794
30931,37554908.23054095,40301.08258047236,4956,4077,8415,13477,210747.02185793823
30937,37392230.56654373,40227.458423571945,4899,4157,8404,13471,210557.99733322844
30943,37707710.603635706,39909.85530580831,4984,4149,8388,13416,210388.93097617486
30949,37447137.26019882,39682.208420477175,4908,4134,8479,13422,210151.43821353937
30955,37365835.93186409,40016.45801061326,4943,4101,8462,13443,209880.78049269877
30961,37577947.37426808,39750.16173331733,4954,4238,8372,13391,209736.76683197875
30967,37146072.97385822,39878.7755381403,4858,4108,8469,13526,209484.25956174528
30973,37515172.3598453,39754.55579697962,4936,4171,8490,13370,209301.64850208123
30979,37406216.5248653,39834.201847135235,4954,4117,8445,13457,209090.22998933584
30985,37493475.26164233,39598.86839096362,4991,4222,8456,13310,208856.79515010954
30991,37459843.74095414,39409.02681473627,4954,4147,8598,13286,208602.08759358386
30997,37654192.96423535,39381.70668709153,5009,4167,8520,13295,208368.38659256898
31003,37661513.17848806,39366.45551132116,4999,4110,8636,13252,208167.5510321773
31009,37857553.98428603,39190.23518414376,5055,4205,8517,13226,208015.0207831144
31015,37583411.74077853,39298.09169671483,4994,4097,8577,13341,207836.3573945789
31021,37812606.66164745,39035.28715001175,5109,4151,8444,13311,207588.64988233984
31027,37453659.52976401,38931.29066388977,5026,4147,8565,13283,207407.85475152117
31033,37531831.25106408,38528.91311424885,5031,4267,8485,13244,207149.36747981166
31039,37769399.134710774,38069.16542289806,5093,4197,8639,13104,206883.32651884208
31045,37596888.44201431,38279.13025170966,5111,4181,8540,13207,206622.91610132725
31051,37897026.60834743,37840.26138218904,5218,4218,8535,13074,206378.95393454895
31057,37824845.018146396,37561.24767952175,5144,4270,8632,13005,206195.17671086986
31063,37688502.680634126,37709.115924461,5148,4192,8586,13131,205941.67799521
31069,37812259.73066906,37398.950742352754,5185,4177,8670,13031,205607.04155398806
31075,37779735.23231684,37230.94115231981,5197,4190,8668,13014,205380.29525711833
31081,37623695.87016343,36991.64364896602,5183,4214,8611,13067,205117.70510481865
31087,38002665.73944573,36576.02698906092,5235,4267,8753,12826,204885.42855579167
31093,37656821.43905305,36359.37424565065,5182,4351,8656,12898,204631.67372415884
31099,38220938.51456817,36068.70936274027,5369,4238,8740,12746,204396.60493909707
31105,37596549.74634629,36342.29102092073,5228,4301,8625,12945,204121.32956269186
31111,37798948.82364412,35797.61265584076,5260,4344,8743,12758,203654.01950659152
31117,37813863.19644223,35465.273483223486,5244,4315,8830,12722,203359.28957679454
31123,37993462.39822261,35231.746689447136,5338,4262,8891,12626,203104.9892200207
31129,37861057.75300017,35222.82606700114,5335,4311,8782,12695,202953.58789348765
