nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
29965,35426950.06580505,58801.367539459694,3440,3766,7076,15675,0.0
29971,35596371.79268595,58279.14149039228,3520,3675,7157,15613,0.0
29977,35465392.102511995,57633.31033886541,3535,3739,7239,15458,0.0
29983,35596838.84108476,57210.054163210676,3614,3729,7148,15486,0.0
29989,35353370.602692306,56796.77966958212,3553,3753,7191,15486,0.0
29995,35512046.79144771,56380.044500540345,3563,3778,7305,15343,0.0
30001,35432199.569933675,56648.441793412945,3605,3701,7277,15412,0.0
30007,35341791.29810412,56561.80147071832,3523,3885,7205,15388,0.0
30013,35383238.97553863,56291.837495351465,3556,3784,7387,15280,0.0
30019,35100569.30332552,56831.588256983625,3491,3716,7291,15515,0.0
30025,35518955.11096077,56463.297721920535,3624,3674,7281,15440,0.0
30031,35513415.23885729,56176.996417198105,3589,3785,7366,15285,0.0
30037,35811205.55876897,55980.947902984946,3655,3836,7305,15235,0.0
30043,35651338.97232488,56046.11119846791,3597,3731,7422,15287,0.0
30049,35773605.7776788,55978.57473079919,3608,3784,7406,15245,0.0
30055,35813930.28529085,56097.692731966505,3671,3662,7423,15293,0.0
30061,35831489.05153238,55769.33941490856,3630,3798,7435,15192,0.0
30067,35619810.673642606,55981.671543920886,3595,3732,7470,15264,0.0
30073,35768880.70054955,55976.8424775443,3637,3708,7447,15275,0.0
30079,35847121.34626971,55803.58637908264,3670,3794,7335,15274,0.0
30085,35823181.23725656,55996.79521197741,3603,3802,7360,15314,0.0
30091,35676199.26343327,55484.997253373476,3578,3822,7487,15198,0.0
30097,35799774.090443656,55640.35768284439,3627,3774,7415,15275,0.0
30103,35844904.252301216,55659.73164575287,3653,3772,7462,15210,0.0
30109,35813293.06876147,55691.93395491507,3628,3808,7471,15196,0.0
30115,36007621.18011996,55165.97811995593,3650,3759,7635,15065,0.0
30121,35820363.22279215,55385.33347938661,3601,3835,7514,15165,0.0
30127,35748807.76054568,55396.91743314592,3584,3786,7602,15149,0.0
30133,35851851.82519557,55502.123381140715,3642,3701,7477,15307,0.0
30139,36003689.795269966,55460.80096694224,3669,3643,7684,15137,0.0
30145,36081605.01189453,55046.31664186658,3677,3782,7568,15112,0.0
30151,35811926.901283555,55282.85149874322,3619,3821,7531,15174,0.0
30157,36296482.30518845,54853.694038775066,3722,3794,7585,15050,0.0
30163,35902476.041796945,55435.371215401115,3611,3803,7478,15265,0.0
30169,36138850.63144621,55096.07741830083,3641,3889,7506,15127,0.0
30175,36152629.94804171,54965.79683218426,3636,3829,7681,15023,0.0
