nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
30291,36204940.37524094,58732.65073183891,3606,3740,7310,15627,0.0
30297,35783249.55351102,58383.12237617099,3551,3740,7319,15681,0.0
30303,36280431.80133432,57301.93006073399,3689,3781,7354,15473,0.0
30309,36067860.270339146,57036.975977500086,3712,3743,7406,15442,0.0
30315,35964617.82835716,56376.02070955869,3693,3877,7390,15349,0.0
30321,35883571.26371179,56143.85241831469,3666,3904,7378,15367,0.0
30327,35964364.683732,56063.00429486593,3698,3724,7556,15343,0.0
30333,35858838.6793446,56011.71423707762,3652,3816,7516,15343,0.0
30339,35916303.12992607,56028.27646879764,3665,3816,7521,15331,0.0
30345,35866442.29966859,56250.383971119896,3674,3809,7395,15461,0.0
30351,35669682.93982138,56154.90229976163,3599,3860,7395,15491,0.0
30357,36188449.663215116,55334.1591412906,3693,3961,7524,15173,0.0
30363,36146641.731623806,55412.99446830732,3730,3877,7476,15274,0.0
30369,35954734.59327807,56033.83308593887,3683,3830,7408,15442,0.0
30375,35849198.96619247,55587.2202072004,3615,3787,7634,15333,0.0
30381,36273063.40007354,55646.073225025924,3779,3739,7470,15387,0.0
30387,36205307.29298544,55338.703718066805,3733,3841,7513,15294,0.0
30393,36273775.181207575,55054.50270309769,3719,3954,7516,15198,0.0
30399,36055572.83565344,55228.407121622455,3677,3816,7557,15343,0.0
30405,36174633.032889105,55071.86242079984,3693,3882,7537,15287,0.0
30411,36108723.45201363,55162.69405747358,3701,3786,7584,15334,0.0
30417,36560175.957003884,54765.91817431706,3800,3858,7579,15174,0.0
30423,36350828.05029695,54915.80790766395,3747,3773,7606,15291,0.0
30429,36264558.14553699,54984.43471369452,3728,3843,7517,15335,0.0
30435,36296158.10698155,54512.08054520488,3720,3850,7690,15169,0.0
30441,36403207.95527082,54406.11770232507,3748,3826,7672,15189,0.0
30447,36247527.36848654,54470.76213981942,3766,3785,7670,15220,0.0
30453,36465562.51149426,54202.217827761,3745,3917,7591,15194,0.0
30459,36675385.65315005,53877.40820709984,3784,3853,7820,14996,0.0
30465,36368117.468827374,54039.46863188063,3724,3831,7795,15109,0.0
30471,36459247.5385313,54038.42438698712,3711,3859,7688,15207,0.0
30477,36314383.98960756,53854.12794580702,3681,3943,7679,15168,0.0
30483,36411715.83604559,53716.19386661071,3729,3824,7854,15070,0.0
30489,36259891.68697265,53844.57994262815,3664,3866,7741,15212,0.0
30495,36651175.37056983,53643.19752139595,3761,3868,7726,15134,0.0
30501,36600705.19506325,53466.68065147768,3777,3874,7783,15061,0.0
30507,36557811.11485504,53290.13659556689,3725,3941,7825,15010,0.0
30513,36656431.129776455,53095.008388178736,3760,3933,7846,14968,0.0
30519,36885112.64846116,53261.920353403635,3855,3899,7753,15006,0.0
30525,36621424.10375606,53317.30032188207,3796,3733,7843,15147,0.0
30531,36847517.525549345,52807.81857532271,3776,3843,7952,14954,0.0
30537,36458649.367449924,53329.64414055166,3713,3910,7765,15143,0.0
30543,36733322.66909291,52614.119050780886,3765,3943,7866,14963,0.0
30549,36379163.26016393,53098.40809660087,3688,3887,7813,15155,0.0
30555,36710063.49052885,52533.15274934099,3757,3919,7846,15027,0.0
30561,36598155.035485424,53012.393687733995,3770,3813,7805,15167,0.0
30567,36566874.81703805,52323.889298107926,3675,3887,7970,15029,0.0
30573,36861083.32539422,52127.576141019934,3822,3834,8027,14884,0.0
30579,36854572.48420043,52338.723196081875,3816,3898,7897,14962,0.0
30585,36722248.5258519,52438.464219753114,3780,3854,7914,15031,0.0
30591,36849856.89827826,52114.54971629515,3780,3836,8013,14956,0.0
30597,36914576.35374252,52099.651895041694,3817,3759,8011,15004,0.0
30603,36666218.14094926,52148.90776233881,3723,3785,8106,14983,0.0
30609,36983035.850436054,51784.06559645636,3787,3980,7907,14929,0.0
30615,36986272.17664355,51451.63975411679,3784,3879,8134,14812,0.0
30621,36970815.968350954,51509.85381254435,3775,3893,8069,14878,0.0
30627,36995398.27761048,51785.07784707575,3805,3803,8002,15011,0.0
30633,37063621.626727834,51569.21470893986,3845,3852,7998,14932,0.0
30639,37064548.913459115,51251.417949068484,3818,3922,8051,14842,0.0
30645,36841434.047931544,51396.93070484868,3760,3955,8064,14860,0.0
30651,36648768.02142127,52806.991256655965,3776,3825,7717,15327,208289.27344195495
30657,36549183.63704871,52672.095688911046,3773,3769,7900,15209,207961.77786083086
30663,36872237.06082439,52269.45538133634,3837,3969,7672,15179,207647.02064876407
30669,36664049.028133534,52770.21363133182,3841,3877,7567,15378,207256.10758346648
30675,36387867.3255106,52409.22027230716,3721,3841,7829,15278,206962.80105387155
30681,36534521.919919,52321.338016008696,3762,3918,7773,15222,206611.74803844895
30687,36742315.48111298,52331.14747529689,3805,3858,7762,15256,206365.39879089643
30693,36630300.69906136,52224.694957944645,3767,3863,7845,15212,206017.96504762387
30699,36823270.32564658,52053.37445609174,3819,3919,7802,15153,205598.51281750112
30705,36931052.04714662,51867.64362087644,3812,3919,7841,15127,205307.93536978765
30711,36756668.53267952,51618.63822113679,3781,3898,7935,15091,205037.69437396052
30717,37272136.26407151,51511.00372761877,3894,3912,7869,15036,204636.58422661482
30723,36958004.047647804,51466.69777959789,3817,3870,7919,15111,203996.23302398392
30729,36743268.487602055,51413.18904928206,3728,4030,7826,15139,203323.15369821372
30735,36702298.24678622,51255.769180071075,3770,3813,7972,15174,202863.57366107
30741,36789913.355910234,51375.1562981394,3764,3876,7918,15177,202512.19830269282
30747,36811583.310154654,51437.982228713314,3810,3841,7860,15230,202289.15028068892
30753,37271249.88849884,50972.687823976674,3899,3943,7893,15012,202022.00857880517
30759,37015479.342394754,50870.504487159844,3838,3960,7936,15019,201688.8586108306
30765,37004231.231964886,50499.91491063867,3819,3910,8026,15004,201312.21236809556
30771,36913405.163213,50749.87864418383,3761,3892,7990,15122,200794.17647468104
30777,36859943.01668424,50908.65966174489,3809,3918,7897,15147,200479.00347849846
30783,37436496.34941435,50266.350956643255,3924,3915,7928,15010,200178.17389459666
30789,36902223.04866705,50697.48630452881,3769,3843,8069,15102,199963.4880928714
30795,36907692.91265566,50812.51406264116,3821,3872,7887,15209,199518.71481681537
30801,37212957.93273924,50319.3108213866,3908,3857,7992,15038,199234.6661682426
30807,37354476.27931569,50138.854005463065,3891,3934,8017,14959,198998.69904692474
30813,37200875.105808996,49934.001748799135,3858,3971,8054,14924,198653.76480740434
30819,36921888.31907419,50289.61803237609,3811,3786,8086,15130,198284.5615596513
30825,37138405.941406205,49894.73481340608,3820,3899,8163,14937,198014.9616726802
30831,37303130.294961385,49829.64262253702,3862,3923,8073,14967,197768.84635888264
30837,37372399.83913021,49883.53239188632,3914,3932,7925,15060,197446.21923175405
30843,37464414.29214517,49795.25128809374,3926,3872,8054,14985,197093.5351569086
30849,37218861.116594434,49771.23133706151,3866,3841,8011,15125,196792.04462651795
30855,37347752.256456584,49341.16083036792,3856,3856,8238,14899,196543.7383062142
30861,37194281.4943483,49541.96397413781,3852,3867,8105,15031,196295.3144779131
30867,37324953.46208781,48900.30030822579,3809,4041,8195,14816,195961.91911301305
30873,37557093.69842005,48972.735316983344,3879,3934,8199,14855,195605.80990567393
30879,37359039.2469429,49264.68182688724,3882,3980,8022,14989,195348.10026356982
30885,37401118.230590895,48843.438443550134,3839,3964,8235,14841,195075.124187012
30891,37316244.88670592,48920.165192802946,3837,3941,8230,14877,194691.05540130494
30897,37376118.389152244,48722.29867736869,3818,3867,8300,14906,194146.3366214316
30903,37755481.75784268,48772.36618278503,3970,3881,8138,14908,193960.02529633508
30909,37508076.780464076,48693.56882954247,3919,3867,8184,14933,193534.6271723537
30915,37684081.163649894,48434.42279532053,3916,4032,8141,14820,193124.26283012863
30921,37728324.553395554,48088.648585124596,3919,3971,8254,14771,192731.77435926776
30927,37375400.44721381,48533.74119606636,3840,3947,8117,15017,192179.09109727442
30933,37557012.14030642,48136.29717549084,3868,4003,8232,14824,191779.63562696046
30939,37681838.367118075,47760.774401732626,3904,3916,8393,14720,191519.22976145495
30945,37824384.19239687,47991.77003256755,3952,3992,8214,14781,191248.61368863538
30951,37804532.48507428,47724.70305606816,3951,3915,8330,14749,190951.41675879547
30957,37456748.32510138,47754.929418518084,3817,3906,8386,14842,190647.1634053935
30963,37431054.69210032,47472.92584309222,3791,3941,8434,14791,190350.51395668436
30969,37762078.81667807,47474.39135422757,3942,3954,8304,14763,189947.23750274317
30975,37784471.609533645,47408.77568436671,3906,3992,8276,14795,189710.55456192928
30981,37847457.91107421,47435.43711303797,3945,3949,8320,14761,189173.85553574623
30987,37636577.58277905,47025.415229084996,3843,3962,8451,14725,188873.52146095646
30993,37823384.57275814,47358.0000704932,3952,3933,8353,14749,188629.00440430813
30999,37862640.23969713,46844.93967300414,3920,4014,8453,14606,188217.89421358707
31005,37967293.66590624,47011.26467880303,3995,3866,8370,14768,187942.0628818892
31011,37376204.522224545,48473.33830923949,3880,3923,8114,15088,223392.5544956239
31017,37213014.233705334,48392.46566310393,3858,4044,7972,15137,223130.5105936165
31023,37428002.94235211,48412.17250771485,3905,3907,8127,15078,222750.27991756468
31029,37621145.37227023,47850.20074908693,3935,4008,8103,14977,221911.86572261152
31035,37573677.61991496,47787.75778297595,3903,3855,8221,15050,221448.61579563448
31041,37597387.16963721,48161.69513069263,3992,3830,8084,15129,221125.34475935876
31047,37655024.794810966,47801.14630240176,3938,3898,8216,14989,220925.88694138444
31053,37453829.85967607,47768.63431836047,3875,4018,8153,15001,220626.5657970526
31059,37557215.20334115,47842.22204236465,3938,3935,8151,15029,220060.8083858127
31065,37544888.46922307,47820.34480505136,3913,3936,8156,15054,219798.5619162943
31071,37400346.56823404,47694.24604323276,3863,3961,8196,15045,219356.78453668373
31077,37514502.32943042,47469.47966068434,3882,3872,8304,15013,218826.16869470282
31083,37602163.20568057,47743.46887491622,3931,3842,8205,15099,218544.5184921033
31089,37290886.068846285,47526.533380014516,3818,4039,8138,15088,218177.77494999577
31095,37499564.14181751,47606.25014967052,3898,4025,8082,15084,217910.4584123446
31101,37719124.654482596,47368.696161758715,3975,3963,8146,15011,217574.18214935288
31107,37870363.115669385,47232.403797006154,4005,3894,8179,15023,217038.18546659188
31113,38068979.06891729,46837.88139211356,4002,3966,8247,14892,216618.93235860413
31119,37743424.617522255,47031.961448741466,3926,4048,8161,14978,216198.69009856417
31125,37723344.48911793,47027.99207319378,3947,3905,8247,15020,215689.92144802344
31131,37607292.14705738,46915.78384849215,3902,3901,8321,15001,215379.96332353182
31137,37719193.57043058,46860.74338273672,3967,3883,8256,15025,214873.77599349673
31143,37694491.74158095,46837.477703958364,3904,4089,8098,15046,214593.07340656288
31149,38052320.41985015,46268.67682001044,3973,3980,8369,14821,214069.14605407344
31155,37548135.524062276,46392.938837774316,3872,4027,8265,14985,213715.69747723264
31161,37895045.16066933,46257.67807126461,3950,3983,8325,14897,213418.85413252292
31167,38136630.32265957,46174.014692665434,4023,4072,8223,14843,213135.49045677515
31173,37838656.34471084,46240.15457069809,3912,3919,8393,14943,212751.54637131657
31179,37862178.567009136,46065.97103300513,3940,3932,8368,14933,212459.07047034954
31185,38047156.89269746,45718.38255961616,4018,3916,8428,14817,211958.53791191077
31191,38011342.33578708,45729.79880149383,3954,3992,8383,14856,211643.0419693518
31197,37961630.219581716,46117.43171023853,3996,3917,8358,14920,211442.72858310762
31203,37716278.77473827,45960.85577729223,3896,3946,8420,14935,210986.16370925083
31209,38080622.387147896,45359.808095241315,3988,3990,8409,14816,210626.73332882728
31215,37892095.83494596,45608.69500373016,3923,4003,8430,14853,210268.1845218731
31221,38008393.4011876,45692.903324067935,3993,3939,8411,14872,209697.71790188298
31227,37827624.97378399,45502.174538946674,3884,3989,8450,14898,209469.76458599916
31233,38091142.46213902,45305.24790249065,3981,3950,8476,14820,209055.89429749068
31239,37730458.47328612,45060.38655468278,3860,4046,8508,14819,208732.55977461123
31245,38471683.73951718,44665.84995002355,4062,3925,8626,14626,208407.6755648577
31251,38238305.54659857,44514.11169407164,3932,4088,8576,14649,207623.3624231846
31257,38368210.70794416,44472.741030755664,4031,3995,8562,14663,207178.05201474673
31263,38161359.374878965,44868.803254783066,3941,3895,8569,14852,206671.40662049872
31269,38435113.42453817,44413.328627297306,4039,3874,8646,14704,206400.93889164526
31275,38107251.75388428,44594.179111908816,3956,3988,8555,14770,206118.38932470142
31281,38400124.11291116,44548.1398537313,4066,3935,8535,14739,205784.57986900766
31287,38057475.20877818,44053.025256622874,3879,4054,8730,14618,205419.6433598042
31293,38454238.9458573,44281.69811097842,4055,3969,8590,14673,204994.78874581892
31299,38548259.200259596,43896.3935999642,4029,4051,8568,14645,204681.58895478296
31305,38578987.85340047,43755.419595804065,4039,4028,8636,14596,204254.1812298367
31311,38290529.25974792,43991.87502774313,3936,3937,8705,14727,203988.9306619507
31317,38211438.945774734,43855.92367038288,3896,4039,8722,14654,203555.14592158186
31323,38638150.44483686,43276.23053041709,4034,4114,8653,14516,203015.4332005862
31329,38420415.79122652,43284.732060506365,3992,4043,8720,14568,202616.56438110527
31335,38662882.288861945,43363.03406760085,4050,4049,8719,14511,202105.46106616224
31341,38671354.86905805,43364.20726721093,4028,3940,8758,14609,201758.0435191038
31347,38577920.493586674,43177.44910477205,4027,4017,8765,14532,201101.97589172077
31353,38756757.96871764,42715.181352380205,4050,4030,8792,14475,200683.08327010108
31359,38657258.99858253,42750.20694591613,4001,4082,8840,14430,200373.1119010961
31365,38730519.01267466,42484.31165406664,4023,3980,8955,14401,200149.82504044028
31371,38243939.36254702,44601.017644241845,4018,3875,8492,14980,231024.7798262231
