nb_people,total_electric,switched_to_electric,total_relocations
30229,1903,590,185
30589,2510,600,185
30949,3118,600,185
31309,3726,600,218
31669,4329,600,502
32029,4937,600,975
32389,5542,600,1518
32749,6135,581,1928
33109,6697,551,2233
33469,7232,529,2582
33829,7751,512,2678
34217,8253,495,2720
34637,8746,481,2751
35057,9237,480,2771
35477,9727,480,2785
35897,10215,480,2798
36317,10700,479,2804
36737,11184,471,2809
37157,11650,458,2813
37577,12087,432,2818
37997,12513,420,2823
38417,12941,420,2828
38837,13373,420,2831
39257,13799,420,2833
39677,14224,420,2835
40097,14648,420,2836
40561,15079,420,2836
41041,15511,420,2837
41521,15940,420,2838
42001,16367,420,2838
42481,16801,420,2838
42961,17237,420,2839
43441,17663,420,2840
43921,18091,420,2840
44401,18521,420,2840
44881,18951,419,2840
45361,19376,417,2841
45841,19792,408,2841
