nb_people,total_electric,switched_to_electric,total_relocations
30309,3813,2419,204
30669,6279,2460,204
31029,8745,2460,204
31389,11213,2460,234
31749,13606,2386,449
32109,15765,2153,756
32469,17783,2015,774
32829,19687,1897,782
33189,21486,1792,784
33549,23183,1687,784
33909,24782,1590,787
34310,26296,1509,788
34730,27735,1426,788
35150,29105,1362,788
35570,30417,1298,788
35990,31681,1260,788
36410,32951,1259,788
36830,34185,1219,788
37250,35392,1200,788
37670,36596,1200,788
38090,37754,1152,788
38510,38503,739,788
38930,38923,415,788
39350,39343,414,788
39770,39764,419,788
40190,40183,414,788
40667,40659,469,788
41147,41139,472,788
41627,41620,467,788
42107,42100,467,788
42587,42579,471,788
43067,43059,474,788
43547,43539,468,788
44027,44019,473,788
44507,44500,472,788
44987,44979,471,788
45467,45459,469,788
45947,45939,464,788
46431,46422,475,788
46971,46963,532,790
47511,47502,533,790
48051,48043,529,793
