nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
30193,35861861.1804979,59387.39352864329,3458,3744,7251,15732,0.0
30199,35591754.75995719,59245.65364899469,3421,3673,7288,15811,0.0
30205,35754115.434616335,58495.702040905635,3507,3822,7181,15689,0.0
30211,35914658.85685726,57539.63054583613,3534,3871,7308,15492,0.0
30217,35568838.24052568,57379.9468018766,3514,3750,7392,15555,0.0
30223,36028612.791434884,57183.56953898353,3643,3746,7369,15459,0.0
30229,36029686.97484039,56989.13767409148,3629,3827,7293,15474,0.0
30235,36108339.64584338,57156.61057682498,3655,3879,7190,15505,0.0
30241,35786400.431180134,57457.41088501367,3643,3741,7302,15549,0.0
30247,35769120.768855244,56881.95139792241,3548,3832,7418,15443,0.0
30253,35676257.78934521,56795.866889602665,3505,3832,7414,15496,0.0
30259,35926894.7669917,57011.36662129683,3637,3802,7292,15522,0.0
30265,36214621.65263798,56559.18166062515,3651,3782,7477,15349,0.0
30271,36247958.59984792,56767.466577172825,3698,3789,7347,15431,0.0
30277,36294331.44106146,56837.31650915133,3671,3782,7380,15438,0.0
30283,36151287.715022504,56523.29866181685,3648,3764,7523,15342,0.0
30289,35868607.6801052,56966.49534651605,3617,3735,7413,15518,0.0
30295,36014383.203667186,56704.756397122044,3608,3840,7425,15416,0.0
30301,36128795.96689983,56558.825108390796,3616,3873,7377,15429,0.0
30307,35999945.080445774,56627.85544062342,3602,3791,7443,15465,0.0
30313,36141265.52897468,56268.95804718742,3619,3743,7568,15377,0.0
30319,36070060.12532053,56507.25016176661,3590,3818,7488,15417,0.0
30325,35953794.73424114,56741.830658853076,3607,3687,7552,15473,0.0
30331,36169062.488730595,56569.06781302807,3651,3714,7501,15459,0.0
30337,36417063.28830156,56286.42105530773,3686,3790,7552,15303,0.0
30343,36021735.571929075,56421.55246693625,3601,3740,7546,15450,0.0
30349,36232200.84871646,55935.28047980062,3614,3851,7590,15288,0.0
30355,36307174.68210765,56096.338563218014,3670,3657,7640,15382,0.0
30361,36411502.82142837,55916.54017395788,3674,3886,7541,15254,0.0
30367,36294474.58318176,55957.07181433159,3622,3740,7711,15288,0.0
30373,36344122.136407875,55848.4831042056,3641,3926,7568,15232,0.0
30379,36309644.83803869,55989.4757448743,3644,3831,7581,15317,0.0
30385,36649505.85545691,55656.60839319909,3729,3810,7670,15170,0.0
30391,36574045.752423875,55539.25041150213,3703,3846,7644,15192,0.0
30397,36667725.25428785,55622.80405528943,3711,3753,7730,15197,0.0
30403,36267850.78907455,55583.212264748676,3612,3823,7712,15250,0.0
30409,36451281.09798598,55606.81795779878,3673,3830,7658,15242,0.0
30415,36330513.453359716,55735.556490708506,3639,3804,7673,15293,0.0
30421,36361441.278172374,55167.54232072908,3606,3843,7843,15123,0.0
30427,36376878.953679405,55437.68335824132,3632,3824,7739,15226,0.0
30433,36654999.98363237,55065.44384212155,3686,3797,7837,15107,0.0
30439,36556623.94249222,55119.61585134922,3679,3902,7664,15188,0.0
30445,36557429.86701886,55413.02318142762,3672,3802,7747,15218,0.0
30451,36479119.79286719,55000.08602116083,3614,3801,7906,15124,0.0
30457,36592632.393154725,55029.99685326606,3659,3935,7764,15093,0.0
30463,36931623.49831671,54890.10049249643,3750,3877,7787,15043,0.0
30469,36767299.5538813,54898.712775346845,3692,3897,7801,15073,0.0
30475,36774937.196144834,54913.61116854399,3678,3835,7861,15095,0.0
30481,36733542.22359744,54983.84644130692,3711,3883,7760,15121,0.0
30487,36966683.264463246,54590.970902000736,3741,3836,7918,14986,0.0
30493,36957255.97755108,54506.90317734414,3739,3841,7853,15054,0.0
30499,36718384.090037815,54600.30420966021,3668,3877,7976,14972,0.0
30505,37168148.44171774,54247.73085965365,3797,3890,7897,14915,0.0
30511,36813936.56088651,54732.29014668303,3713,3831,7874,15087,0.0
30517,36956530.57082956,54581.11319962261,3755,3827,7891,15038,0.0
30523,36502639.65169905,54779.37814532742,3645,3784,7983,15105,0.0
30529,37158815.73970024,54157.060511738506,3766,3904,7907,14946,0.0
30535,36717440.84453235,54278.11296329438,3679,3774,8062,15014,0.0
30541,36732526.010220654,54361.91012905054,3627,3877,8009,15022,0.0
30547,36951086.33526353,54106.785596354086,3695,3848,8088,14910,0.0
30553,36720415.102078624,55864.567434957185,3772,3722,7631,15422,225495.28608072278
30559,36643512.97860292,55596.04940556707,3723,3911,7622,15297,225447.6390429987
30565,36650754.82868941,55425.37362153001,3772,3863,7647,15277,225369.61030348748
30571,36439977.00438473,55439.599054416685,3692,3905,7607,15361,225319.70816200387
30577,36823718.17089958,54908.566674922855,3804,3849,7755,15163,225264.60185959915
30583,36564537.98011804,54790.92221396405,3743,3960,7680,15194,225194.79547343872
30589,36561514.85062097,54743.6922892126,3790,3803,7792,15198,225115.32421468882
30595,36689445.97129377,54400.849180717654,3798,3799,7832,15160,225032.57438572936
30601,36709467.78771112,54256.12152764599,3827,3904,7761,15103,224948.9195988796
30607,36431262.22340821,54112.596769250136,3783,3902,7767,15149,224822.2694666854
30613,36794474.58567036,53854.25724418416,3884,3795,7872,15056,224701.978622067
30619,36701535.83161976,53371.25620984307,3827,3885,7990,14911,224606.03567840005
30625,36468572.489603974,53714.25725021502,3812,3850,7834,15123,224469.01133093055
30631,36496796.640023336,53380.4046293138,3810,3865,7906,15044,224367.69843811876
30637,36639662.005992666,53597.66244226856,3892,3820,7821,15098,224225.3474562048
30643,36888903.06608087,52932.78749054978,3919,3940,7899,14879,224126.5135536569
30649,36642312.15434243,52968.563030072546,3895,3838,7936,14974,224085.46690791307
30655,36854334.54646228,52623.30381977211,3945,3906,7940,14858,223999.75682075272
30661,36942710.67468957,52181.433986218886,3951,3935,8015,14754,223947.35865957223
30667,36911705.5902631,51985.09763798288,3952,3895,8076,14738,223891.7405013982
30673,36822083.439831086,51861.85999872485,3947,4010,7999,14711,223845.55219327027
30679,36896759.32580574,51760.04251736504,4021,3946,8009,14697,223794.37686941316
30685,36749089.9039271,51443.207770730965,3956,3986,8065,14672,223722.29294911705
30691,37228421.63525977,50750.93796114252,4081,3976,8138,14490,223672.6638334285
30697,37113072.38472233,50844.97572413621,4112,4013,8070,14496,223630.58761325225
30703,36766878.096614026,51197.989522359865,4060,4021,7962,14654,223524.16957673206
30709,37207231.738487415,50353.46838797607,4141,4054,8105,14403,223416.02338134535
30715,36918312.610401176,50272.59503013225,4132,4037,8089,14451,223284.15669550796
30721,37000303.68260146,50151.6204995262,4133,4033,8122,14427,223124.89102915084
30727,36751646.1352032,49920.31979872116,4103,3931,8244,14443,223049.93936657163
30733,37327928.683882385,49364.744976477865,4262,3977,8220,14268,222977.0458217362
30739,37268982.946926534,49260.34012613041,4235,4035,8217,14246,222883.71515924422
30745,37412591.70156637,48969.36147601782,4277,4014,8282,14166,222788.2017277175
30751,37300428.0418245,48836.576884833965,4298,3954,8355,14138,222656.34222798145
30757,36934953.62251078,48935.63799721946,4209,4009,8234,14299,222537.87949956334
30763,37312981.767880805,48266.33417567719,4305,4100,8270,14082,222505.59941801932
30769,37362690.637315005,47984.16981847366,4334,4052,8394,13983,222419.77827173032
30775,37440022.204462655,48052.74013452772,4390,4098,8229,14052,222294.4055065613
30781,37008983.62040475,47891.22445369047,4272,4053,8434,14016,222189.3657716819
30787,37294885.17361238,47632.26655055841,4433,4022,8317,14009,222161.10248597528
30793,37095860.31572058,47197.998226012096,4337,4178,8383,13889,222116.30756956871
30799,37504710.73371328,46988.40313944902,4502,4019,8405,13867,222064.01011433944
30805,37356100.29638426,46970.882113476786,4468,4118,8318,13895,222004.9769221229
30811,37225353.02033703,46856.0075480758,4462,4031,8446,13866,221957.37280999954
30817,37195429.63751422,46718.245464253036,4477,4055,8408,13871,221858.64329380318
30823,37230953.85481246,46363.82983331237,4508,4068,8419,13822,221772.97367251394
30829,37542184.79580094,46155.77437701897,4602,4101,8436,13684,221738.2790917737
30835,37408314.60811246,45819.69958426328,4600,4070,8426,13733,221685.4478037147
30841,37327662.02940356,45777.01342377474,4580,4184,8407,13664,221630.4804570118
30847,37355172.65083896,45310.97745322126,4597,4085,8576,13583,221599.6353114197
30853,37604418.67306823,45644.17282259704,4700,4091,8359,13697,221539.71486911437
30859,37450028.54706777,45222.51824010444,4635,4118,8522,13578,221407.40864894955
