nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
29764,35436877.138613775,58390.430433245194,3497,3712,6913,15634,0.0
29770,35286786.915310524,57805.04938739761,3495,3714,7033,15522,0.0
29776,35054685.86818606,57377.149530208524,3467,3638,7177,15488,0.0
29782,35338940.08579252,56830.64398073615,3588,3677,7063,15448,0.0
29788,35348161.235222444,56394.68183697025,3651,3638,7126,15367,0.0
29794,35267326.0089459,55828.63464408704,3597,3822,7121,15248,0.0
29800,35272430.21506368,56078.96414804268,3628,3773,7099,15294,0.0
29806,35221643.21076256,56222.83110270833,3591,3757,7136,15316,0.0
29812,35659306.733084515,55669.185810543255,3671,3706,7249,15180,0.0
29818,35403531.94485881,55895.44395907349,3637,3711,7176,15288,0.0
29824,35279040.50226594,56149.422716580826,3623,3700,7123,15372,0.0
29830,35244817.59419344,55999.868851123145,3614,3701,7158,15351,0.0
29836,35191406.02037851,56047.08038980664,3613,3719,7117,15381,0.0
29842,35268097.68264369,56000.103198986355,3613,3693,7196,15334,0.0
29848,35355964.65641773,55973.42110400745,3609,3720,7190,15323,0.0
29854,35136439.44458473,56033.907190357786,3572,3785,7121,15370,0.0
29860,35318450.42241723,56125.08378594087,3661,3668,7101,15424,0.0
29866,35474575.301884286,56363.42069217004,3728,3613,7075,15444,0.0
29872,35305242.77935242,55854.62624758656,3612,3687,7234,15333,0.0
29878,35358036.93872006,56039.420026259715,3623,3710,7176,15363,0.0
29884,35502977.818415105,56180.71335838689,3682,3647,7157,15392,0.0
29890,35627723.56948035,55838.87623095961,3711,3755,7123,15295,0.0
29896,35550181.32081301,55538.4851877246,3678,3740,7284,15188,0.0
29902,35035047.14054978,55905.4809268495,3517,3777,7202,15400,0.0
29908,35681227.8400282,55378.04737775649,3696,3833,7202,15171,0.0
29914,35507124.48962585,55751.51478668724,3671,3746,7170,15321,0.0
29920,35528389.97858918,55909.141266939056,3692,3682,7196,15344,0.0
29926,35337525.02124277,55769.72780464911,3617,3760,7243,15300,0.0
29932,35464109.76219965,55653.83782266444,3615,3845,7151,15315,0.0
29938,35706477.19232687,55586.00124637386,3697,3698,7238,15299,0.0
29944,35587437.864358366,55581.31679470109,3652,3824,7147,15315,0.0
29950,35453831.20531192,55573.05164520487,3602,3760,7310,15272,0.0
29956,35318121.66613513,55549.966801670205,3553,3729,7376,15292,0.0
29962,35480901.8429505,55255.231113659036,3608,3810,7380,15158,0.0
29968,35631313.64619553,55402.26203703261,3641,3781,7271,15269,0.0
29974,35316518.303621516,55725.79515479738,3617,3654,7313,15384,0.0
29980,35387754.839542896,55589.63401674617,3584,3789,7275,15326,0.0
29986,35638361.60693329,55544.27573523542,3672,3672,7338,15298,0.0
29992,35877541.04904292,55331.388722294425,3738,3718,7305,15225,0.0
29998,35828853.58555665,54980.439353932714,3667,3783,7392,15150,0.0
30004,35361015.35572162,55466.539876669565,3607,3682,7356,15353,0.0
30010,35881614.43046114,55042.72430856135,3705,3829,7304,15166,0.0
30016,35691355.78941156,55481.62085581755,3681,3715,7326,15288,0.0
30022,35762161.21701746,55293.33940423044,3702,3729,7300,15285,0.0
30028,35645213.51438268,55226.124519471836,3655,3810,7314,15243,0.0
30034,35937114.13540613,55098.42262092119,3742,3742,7314,15230,0.0
30040,35588766.741839014,55488.10288217699,3682,3740,7270,15342,0.0
30046,35976067.34475543,54959.35354695939,3727,3799,7371,15143,0.0
30052,35601368.55980478,55394.157736768146,3621,3693,7398,15334,0.0
30058,35769343.10755126,55315.72175754991,3708,3673,7348,15323,0.0
30064,35900895.58324564,55058.92489378012,3717,3730,7397,15214,0.0
30070,35829034.80692267,54901.059639183826,3672,3790,7413,15189,0.0
30076,35592963.54317295,55323.43989298152,3668,3694,7376,15332,0.0
30082,36005723.99976257,54712.43739049159,3689,3776,7495,15116,0.0
30088,35971802.59894422,55115.42355079448,3786,3668,7392,15236,0.0
30094,35867841.12772182,55047.6818687728,3697,3789,7375,15227,0.0
30100,35950429.226392515,55117.2224911882,3728,3794,7310,15262,0.0
30106,35880054.26716886,55030.00126084198,3729,3676,7419,15276,0.0
30112,36013342.62941029,54559.72210120483,3722,3715,7577,15092,0.0
30118,35874265.30639887,55027.35474720209,3736,3714,7392,15270,0.0
30124,35806092.32866217,55059.69212480109,3682,3749,7420,15267,0.0
30130,35744159.68270444,54942.07553944869,3657,3756,7443,15268,0.0
30136,35919498.95027528,54708.29433035832,3708,3750,7489,15183,0.0
30142,35840785.988005474,54804.36159525448,3684,3743,7493,15216,0.0
30148,35818775.3748866,54865.88795677173,3687,3770,7421,15264,0.0
30154,36147772.640873104,54535.59611138516,3718,3769,7506,15155,0.0
30160,35776521.10996974,54783.44916743546,3650,3805,7452,15247,0.0
30166,35860366.17418737,54906.77082397976,3709,3776,7411,15264,0.0
30172,35938074.55178542,54825.390004639165,3696,3704,7487,15279,0.0
30178,35906824.819888346,54711.82096461233,3711,3731,7450,15280,0.0
30184,36203605.44126252,54508.13748356799,3767,3781,7488,15142,0.0
30190,36208846.38760581,54452.63866892351,3779,3816,7478,15111,0.0
30196,35901884.98166497,54438.09992201304,3667,3855,7482,15186,0.0
30202,35940597.09462391,54224.32161173246,3663,3855,7563,15115,0.0
30208,36126524.07382722,54483.81527015955,3722,3789,7480,15211,0.0
30214,36214654.78941732,54321.673235055074,3726,3826,7515,15141,0.0
30220,36205344.122079335,54381.93092213569,3760,3875,7459,15120,0.0
30226,36162374.07301867,54145.67382497692,3732,3781,7677,15030,0.0
30232,36229408.362918496,54297.782896325916,3747,3806,7529,15144,0.0
30238,36026660.9409601,54418.82628657464,3706,3811,7469,15246,0.0
30244,36431627.56521448,54053.524760873,3798,3810,7605,15025,0.0
30250,36262607.30933761,54055.72235247037,3754,3801,7619,15070,0.0
30256,36114968.03219042,54310.80909068851,3669,3819,7584,15178,0.0
30262,36295358.32034005,54405.44423368746,3779,3725,7562,15190,0.0
30268,36453039.68539048,54162.79320096359,3808,3816,7509,15129,0.0
30274,36404534.51040939,54248.9456432985,3809,3736,7561,15162,0.0
30280,36295411.24637158,54000.20550481847,3741,3844,7609,15080,0.0
30286,36365834.876421236,54103.81563805483,3754,3819,7617,15090,0.0
30292,36341651.21974743,54040.62683963756,3755,3829,7587,15115,0.0
30298,36317617.59110504,54269.56802692558,3771,3800,7579,15142,0.0
30304,36420169.417224735,53676.60601403129,3763,3788,7783,14964,0.0
30310,36240444.90829335,53817.77562094809,3724,3884,7640,15056,0.0
30316,36099561.13273986,54035.97128676545,3698,3850,7625,15137,0.0
30322,36437899.096718684,53813.42734592264,3773,3729,7741,15073,0.0
30328,36444284.68893016,53812.3051511147,3779,3712,7762,15069,0.0
30334,36346995.59244507,53826.99698300562,3773,3853,7618,15084,0.0
30340,36542101.0439214,53784.155275371995,3787,3860,7633,15054,0.0
30346,36624674.44893653,53579.470929216746,3786,3852,7662,15040,0.0
30352,36355505.527931996,53983.0231349909,3773,3816,7592,15165,0.0
30358,36376817.63561513,54050.433144611125,3771,3704,7747,15130,0.0
30364,36592534.40330356,53675.71783165434,3783,3890,7634,15051,0.0
30370,36303759.24209721,53913.85236404125,3753,3804,7687,15120,0.0
30376,36360417.959189594,53869.44228207287,3742,3878,7636,15114,0.0
30382,36237837.53290183,53961.14083997696,3720,3768,7745,15143,0.0
30388,36438112.59795396,53775.969932307664,3748,3833,7656,15145,0.0
30394,36499361.53077937,53268.04043358107,3769,3918,7815,14886,0.0
30400,36337567.56070272,53602.67257289117,3740,3871,7758,15025,0.0
30406,36448696.57311132,53518.19376219937,3732,3959,7669,15040,0.0
30412,36603928.50531284,53507.57147459252,3781,4004,7647,14974,0.0
30418,36276172.246020354,53687.7751993697,3724,3796,7747,15145,0.0
30424,36272972.229128174,53951.50672251166,3759,3685,7742,15232,0.0
30430,36357812.31891648,53619.81932078881,3734,3807,7782,15101,0.0
30436,36882574.73886607,53258.69572669954,3863,3857,7789,14921,0.0
30442,36390755.25088127,53580.36708874414,3746,3776,7825,15089,0.0
30448,36589994.78165677,53485.56755204968,3779,3758,7828,15077,0.0
30454,36695515.58827288,53319.82201936701,3814,3816,7813,15005,0.0
30460,36819886.91939565,53358.42728302158,3849,3815,7765,15025,0.0
30466,36635423.327366024,53368.5965339235,3793,3796,7825,15046,0.0
30472,36666179.9055517,53445.03306298941,3833,3913,7574,15146,0.0
30478,36782267.98379459,52989.13123981779,3805,3765,7974,14928,0.0
30484,36755609.120307006,53032.59168003715,3795,3833,7947,14903,0.0
30490,36639505.5236884,53337.53915128858,3812,3768,7837,15067,0.0
30496,36794520.14726809,53289.41326639012,3853,3754,7846,15037,0.0
30502,36609269.18835387,53134.11920642968,3792,3911,7775,15018,0.0
30508,36675004.19810652,52986.88964401976,3754,3894,7866,14988,0.0
30514,36830663.657591686,53012.843601405955,3810,3897,7800,15001,0.0
30520,36608972.62611442,53205.98640257662,3761,3800,7871,15082,0.0
30526,36971527.765648894,52895.734348243954,3853,3833,7820,15014,0.0
30532,36873484.95233058,52973.86878247115,3849,3848,7834,14995,0.0
30538,36664423.921374045,53179.69082814656,3808,3874,7851,14999,0.0
30544,36726053.27501926,53284.47185829557,3828,3798,7809,15103,0.0
30550,36759418.158985056,53185.670603712846,3833,3867,7805,15039,0.0
30556,37037105.657919034,52969.40860978147,3887,3817,7864,14982,0.0
30562,36802595.28267021,53050.78703346595,3830,3831,7882,15013,0.0
30568,36821735.831668474,52993.83255280113,3848,3866,7925,14923,0.0
30574,36997033.03103214,52692.774195680744,3874,3810,7937,14947,0.0
30580,36710463.04506445,53231.51395863945,3827,3882,7812,15053,0.0
30586,36815025.00308485,53005.02197690625,3802,3955,7772,15051,0.0
30592,36742598.1730816,53175.11608262684,3795,3819,7821,15151,0.0
30598,37047973.66387659,53044.524443236325,3881,3857,7844,15010,0.0
30604,37030947.2206125,52779.40428938563,3864,3903,7835,14996,0.0
30610,36871876.50550951,53048.49816797022,3837,3862,7867,15038,0.0
30616,36914029.95430098,53018.19632142979,3857,3833,7858,15062,0.0
30622,37191877.67861574,52505.67887664015,3877,3974,7918,14847,0.0
30628,37115615.16433342,52835.678090247624,3887,3811,7940,14984,0.0
30634,37023194.76527653,52359.14331450509,3817,3996,7974,14841,0.0
30640,36888016.59339691,52822.28672307699,3826,3866,7978,14964,0.0
30646,37066413.47097155,52717.47571766989,3895,3766,8019,14960,0.0
30652,36983302.68128721,52848.04638002574,3860,3778,7962,15046,0.0
30658,37109748.49115429,52590.640846864255,3860,3907,7946,14939,0.0
30664,36936991.5573963,52710.26475806406,3814,3825,8032,14987,0.0
30670,37119550.63013749,52388.40095185718,3858,3919,8023,14864,0.0
30676,37050574.78943852,52466.59048393312,3855,3859,8042,14914,0.0
30682,37181512.830191806,52623.61894559955,3899,3845,7936,14996,0.0
30688,36838720.19711355,52654.45797940619,3785,3751,8101,15045,0.0
30694,37510047.71474715,52539.69464933677,3958,3762,8034,14934,0.0
30700,37081820.637434185,52511.53520864668,3839,3910,8008,14937,0.0
30706,37391808.58045078,52437.48723705679,3939,3896,7952,14913,0.0
30712,37492740.90193136,52348.9540199618,3964,3880,8009,14853,0.0
30718,36905103.87143023,52411.62113815579,3785,3916,8034,14977,0.0
30724,37405093.46775434,52239.612454588394,3904,3915,8037,14862,0.0
30730,37298174.29508904,52242.21467602298,3905,3815,8128,14876,0.0
30736,37583098.032734185,52323.71363401971,3988,3804,8072,14866,0.0
30742,37509400.785348006,52023.70574745617,3948,3947,8012,14829,0.0
30748,37613662.09653318,52241.69665981378,3986,3874,7995,14887,0.0
30754,37521862.82687853,51782.45410307638,3909,3878,8160,14801,0.0
30760,37477137.84516235,52127.57878697958,3914,3891,8094,14855,0.0
30766,37438044.16627509,52109.95435877837,3938,3830,8125,14867,0.0
30772,37287231.35940446,52593.19541561586,3944,3875,7925,15022,0.0
30778,37261673.31603016,52323.933677537454,3904,3866,8073,14929,0.0
30784,37250222.33153836,52004.90521041629,3868,3887,8185,14838,0.0
30790,37449717.38781029,52368.19431038322,3945,3897,7993,14949,0.0
30796,37375653.97834504,52013.27824004007,3920,3863,8162,14845,0.0
30802,37403396.21620061,51991.23521790148,3897,3873,8179,14847,0.0
30808,37443022.41602242,51966.20784411239,3908,3910,8144,14840,0.0
30814,37231958.82754575,51958.06803441028,3834,3959,8166,14849,0.0
30820,37651087.94250901,51725.66619538696,3949,3997,8100,14768,0.0
30826,37355308.316569425,51923.83114813172,3868,3992,8097,14863,0.0
30832,37302075.88156125,51805.09591972815,3858,3947,8168,14853,0.0
30838,37465576.6775487,52089.07866312031,3945,3822,8210,14855,0.0
30844,37481997.552552946,52015.244152076535,3954,3913,8055,14916,0.0
30850,37261525.43870285,51879.79455655694,3854,3977,8096,14917,0.0
30856,37558783.00277642,51805.06838921633,3949,3941,8125,14835,0.0
30862,37505022.45549639,51948.25700703401,3956,3860,8134,14906,0.0
30868,37406796.111401856,51915.52105561863,3918,3882,8141,14921,0.0
30874,37344077.66628741,51874.523261168615,3890,3946,8176,14856,0.0
30880,37591983.34679236,51791.03278387082,3961,3988,8079,14846,0.0
30886,37672347.57576898,51338.7863985045,3935,3990,8225,14730,0.0
30892,38092754.780783325,51536.15353919946,4099,3839,8213,14735,0.0
30898,37664728.51126914,51629.44926930815,3974,3890,8200,14828,0.0
30904,37348641.4724879,51796.393964659634,3863,3950,8165,14920,0.0
30910,37583682.06120086,51259.31048777196,3899,3895,8359,14751,0.0
30916,37686609.0695582,51840.491559370406,3978,3835,8200,14897,0.0
30922,37753750.69903519,51518.80444791604,3957,3975,8211,14773,0.0
30928,37624740.83520731,51287.61879511938,3894,3939,8341,14748,0.0
30934,37617549.9431999,51537.24972151951,3956,3889,8233,14850,0.0
30940,37362374.653778,51613.122341439346,3848,3859,8333,14894,0.0
30946,37758167.19903361,51577.21554934873,3978,3980,8105,14877,0.0
30952,37964444.13054895,51409.36835926229,4023,3868,8273,14782,0.0
30958,37688729.22432719,51338.70645367548,3927,3915,8285,14825,0.0
30964,37913289.25905089,51364.66562338897,4016,4000,8169,14773,0.0
30970,37856423.45797714,51475.33168978198,3996,3969,8154,14845,0.0
30976,37886297.018563606,51617.15537419123,4007,3881,8208,14874,0.0
30982,37859101.5243374,51543.16501235502,4029,3821,8235,14891,0.0
30988,37759623.75547648,51246.14127606269,3936,3932,8295,14819,0.0
30994,37393657.12565067,51326.402156434575,3870,3931,8319,14868,0.0
31000,38078792.2384847,50947.30004122213,4036,3951,8297,14710,0.0
31006,37825452.107969746,51411.91059511396,4005,3825,8346,14824,0.0
31012,37849763.636480205,51109.06408804959,3961,4005,8251,14789,0.0
31018,37809806.71229663,51373.05739375017,3987,3814,8396,14815,0.0
