nb_people,total_electric,switched_to_electric,total_relocations,c_passengers
30461,1927,590,186,708
30821,2537,600,3195,772
31181,3146,600,6255,876
31541,3698,547,9315,894
31901,4143,438,12375,866
32261,4486,335,14459,763
32621,4789,300,15053,785
32981,5095,300,15251,813
33341,5402,300,15368,797
33701,5710,300,15452,860
34067,6020,300,15517,819
34487,6328,300,15553,886
34907,6636,300,15610,847
35327,6944,300,15650,887
35747,7250,300,15688,847
36167,7561,300,15717,839
36587,7868,300,15757,863
