nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
30107,35855558.08929548,58700.71074910476,3599,3662,7309,15529,0.0
30113,35665229.72728285,58269.07514863395,3603,3696,7275,15533,0.0
30119,35607012.62357344,57981.079631430526,3645,3734,7193,15541,0.0
30125,35694159.680065595,57398.20538876503,3683,3730,7228,15478,0.0
30131,35747797.21867843,56995.22213403099,3713,3720,7230,15462,0.0
30137,35874755.50632723,57174.152700122184,3766,3690,7175,15500,0.0
30143,35688550.467058435,57177.68222695717,3708,3666,7187,15576,0.0
30149,35936366.5088633,56405.26025376137,3701,3819,7361,15262,0.0
30155,35772946.09058247,56703.77411197244,3717,3821,7230,15381,0.0
30161,35821326.10689123,56817.88719653859,3689,3757,7248,15461,0.0
30167,35939613.5730409,56782.26789507096,3770,3711,7238,15442,0.0
30173,35816546.7564678,56637.94418337766,3701,3706,7389,15371,0.0
30179,36106284.1215173,56272.15641843942,3788,3647,7520,15218,0.0
30185,36098190.070454136,56376.71997611921,3778,3777,7321,15303,0.0
30191,35784859.64773265,56296.93895296486,3690,3784,7392,15319,0.0
30197,36093995.75001509,56442.76363112711,3779,3659,7423,15330,0.0
30203,36082830.20470586,56515.26402716039,3790,3732,7316,15359,0.0
30209,36154611.182191715,55622.62431698423,3718,3833,7532,15120,0.0
30215,35679982.35915246,56284.34045496366,3633,3740,7502,15334,0.0
30221,36099208.01340916,56233.54841914849,3761,3719,7492,15243,0.0
30227,36272361.421696566,55887.61557803141,3827,3736,7436,15222,0.0
30233,36257229.86639382,55968.136266566624,3780,3759,7445,15243,0.0
30239,36031738.97523676,56204.2148925925,3738,3686,7483,15326,0.0
30245,35940301.79740224,56299.66594938586,3712,3814,7377,15336,0.0
30251,36010751.74172667,55959.285863883946,3698,3733,7541,15273,0.0
30257,36210070.68354469,55776.081510501564,3736,3870,7473,15172,0.0
30263,36202762.119029574,55735.38368484493,3748,3889,7475,15145,0.0
30269,36265136.58743976,55779.87787943541,3789,3809,7510,15155,0.0
30275,36454551.07499958,55258.914195760124,3785,3904,7549,15031,0.0
30281,36347141.459676355,55324.68547169575,3772,3844,7554,15105,0.0
