int(self),gas_tax_increment,diesel_tax_increment,self.emissions,self.tax_sum,self.total_switches
0,0.000001,0.0000012,16359.326032619669,124402.33971834002,2967
1,0.000002,0.0000024,12086.627063724241,143523.24697517624,2967
2,0.000003,0.0000036,10269.642135581675,151594.13987890753,2967
3,0.000004,0.0000048,9967.464644609507,175358.22633864282,2967
4,0.000005,0.000006,10185.457747278704,242714.8842275329,2967
5,0.000006,0.0000072,10614.322473906279,294460.21289834025,2967
6,0.000007,0.0000084,11051.872485756174,354841.19647095597,2967
7,0.000008,0.0000096,11187.872886495003,441796.8876412226,2967
8,0.000009,0.0000108,11420.234365497758,464683.34654198244,2967
9,0.00001,0.000012,11177.725878756934,515959.3626805177,2967
