nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
10080,10947272.640441276,25530.073055558994,1053,1252,817,6955,0.0
10083,11004169.726926148,25387.29276380567,1081,1196,806,6997,0.0
10086,10971958.116847523,25168.805780058556,1068,1279,812,6924,0.0
10089,10858447.418863785,25405.61502476567,1059,1141,850,7036,0.0
10092,10979012.875297057,24903.597859504403,1088,1248,816,6937,0.0
10095,11019000.549158666,24780.28720846581,1111,1253,816,6912,0.0
10098,10972070.246940516,24871.729515728497,1104,1188,839,6964,0.0
10101,10836835.874322448,24837.194841728244,1056,1206,886,6950,0.0
10104,11035746.3411494,24768.485676158823,1123,1277,784,6917,0.0
10107,10996414.94649031,24751.304710592325,1099,1268,824,6913,0.0
10110,10929164.272461481,24708.012720764007,1073,1244,881,6909,0.0
10113,10952817.640556896,24830.559552997187,1098,1222,857,6933,0.0
10116,11045028.206528349,24781.086282544406,1128,1228,835,6922,0.0
10119,11116407.024266781,24853.054848134023,1142,1195,836,6943,0.0
10122,10914826.909383584,24827.19112387393,1092,1231,845,6951,0.0
10125,10988986.621176274,24706.75218501926,1089,1251,853,6929,0.0
10128,11145013.476551313,24559.800374212242,1119,1286,844,6876,0.0
10131,11019678.35857112,24857.424586157314,1119,1202,817,6990,0.0
10134,11085887.822709572,24632.75068688081,1105,1274,865,6887,0.0
10137,11051873.736727213,24820.61807938042,1114,1217,814,6989,0.0
10140,11195731.7005249,24568.25975734242,1135,1280,853,6869,0.0
10143,11049277.875098212,24756.06246720446,1111,1156,926,6947,0.0
10146,11016769.879241941,24672.843952683437,1107,1250,878,6908,0.0
10149,10982235.448487557,24583.50561828705,1081,1278,887,6900,0.0
10152,11075994.824986845,24642.669484697184,1107,1255,882,6905,0.0
10155,11129440.785334153,24680.272343783323,1134,1239,878,6901,0.0
10158,11016110.237296298,24694.264685379596,1090,1235,899,6931,0.0
10161,11030636.831552453,24560.16483229301,1084,1280,906,6888,0.0
10164,11115495.561324868,24714.25506024467,1133,1220,885,6923,0.0
10167,11033276.073710434,24548.142101643556,1072,1311,890,6891,0.0
10170,10889863.55824946,24824.78988445719,1075,1233,870,6989,0.0
10173,11199618.327711442,24494.98008891402,1113,1247,927,6883,0.0
10176,11119538.526545063,24516.48709218103,1119,1316,884,6854,0.0
10179,11140590.596573617,24584.955159186855,1115,1240,914,6907,0.0
10182,10856104.806133224,24659.384137874054,1037,1276,937,6929,0.0
10185,10983605.710950786,24696.40202555857,1086,1235,933,6928,0.0
10188,11102628.80162375,24579.63209362506,1122,1246,900,6917,0.0
10191,11180726.917494737,24639.4569064808,1131,1232,884,6941,0.0
10194,11313278.961144162,24491.963243292914,1161,1266,898,6866,0.0
10197,11193598.36812573,24714.273922232187,1145,1205,876,6968,0.0
10200,10975737.864380335,24632.25693328015,1070,1250,928,6949,0.0
10203,11106342.668139923,24492.58259621538,1090,1260,951,6899,0.0
10206,11206615.629830176,24563.02673349832,1128,1250,917,6908,0.0
10209,11307300.492135251,24406.640544503105,1147,1289,902,6868,0.0
10212,11336006.60629338,24331.406525026247,1132,1231,1004,6842,0.0
10215,11062869.682222197,24689.702454599716,1084,1240,909,6979,0.0
10218,11190833.623949384,24588.88945591925,1142,1244,905,6924,0.0
10221,11290577.256652046,24363.957101653865,1116,1296,950,6856,0.0
10224,11166413.4954329,24584.023832755203,1125,1211,939,6946,0.0
10227,11277559.519618992,24496.481406151855,1151,1285,894,6894,0.0
10230,11181168.686248252,24537.409936706634,1107,1213,999,6908,0.0
10233,11025321.803369023,24614.362351194366,1081,1230,929,6990,0.0
10236,11057805.163416546,24434.442313110212,1071,1249,1003,6910,0.0
10239,11189225.767020924,24573.24767483505,1126,1215,966,6929,0.0
10242,11354288.748513388,24247.919143745847,1158,1338,926,6817,0.0
10245,11222479.79623311,24447.69596498186,1128,1272,959,6883,0.0
10248,11310328.288960043,24216.82774960056,1126,1330,963,6826,0.0
10251,11131753.426157292,24333.16262814675,1068,1317,944,6919,0.0
10254,11289538.502284441,24243.445392310638,1102,1321,1007,6821,0.0
10257,11274971.827210326,24312.281054425188,1118,1256,1003,6877,0.0
10260,11225375.842753904,24597.991203424917,1128,1245,912,6972,86657.34198449292
10263,11382674.43330694,24470.31575348886,1166,1217,944,6933,86619.17928458008
10266,11210907.621658012,24666.729897025092,1121,1184,964,6994,86562.85356581259
10269,11149161.606607052,24503.247437849896,1090,1248,970,6958,86514.87384109636
10272,11297350.669219328,24453.19980010452,1133,1215,993,6928,86508.60287530647
10275,11384945.509085335,24308.177856866474,1138,1305,928,6901,86483.00342555344
10278,11183783.94052621,24555.236085431756,1124,1274,886,6991,86456.13972076248
10281,11340450.261758221,24397.332492040954,1148,1269,957,6904,86428.93294041032
10284,11495671.565995203,24346.97959632219,1205,1245,945,6886,86389.44489862339
10287,11278528.825903507,24521.989335575676,1157,1210,936,6981,86369.01094742097
10290,11134849.630705187,24584.77865508348,1105,1242,929,7011,86320.83700454207
10293,11375502.296711903,24498.55908668723,1168,1263,882,6977,86285.46344459025
10296,11282426.955272838,24515.275998504254,1143,1233,945,6972,86258.25745808579
10299,11411748.403027352,24287.94443706823,1160,1333,915,6888,86254.25889663406
10302,11228311.824743068,24425.201919512954,1122,1297,925,6955,86232.20355369135
10305,11375911.942433644,24386.47438060602,1156,1275,949,6922,86216.25668370802
10308,11589959.25689824,24161.437738226006,1196,1302,947,6860,86190.42361838109
10311,11255138.947692726,24572.455083493114,1147,1197,988,6976,86159.81974591016
10314,11434055.442030963,24211.65351395829,1162,1345,922,6882,86132.55289571981
10317,11218162.473274572,24349.996371842284,1101,1312,944,6957,86088.90431164422
10320,11290220.698910104,24356.44774969673,1117,1307,952,6941,86065.85008342993
10323,11367613.037302194,24393.369959205746,1136,1247,988,6949,86032.15839928492
10326,11256252.384187715,24441.42830924161,1132,1248,964,6979,86024.91489872948
10329,11431057.846735992,24378.049909642006,1158,1275,967,6926,86001.87589260862
10332,11558326.220812382,24290.259385111563,1208,1291,940,6890,85978.45091867424
10335,11225233.181007035,24422.898772167195,1108,1275,982,6967,85930.98566232304
10338,11464106.21858449,24247.22202840893,1149,1280,1012,6894,85900.41095818699
10341,11263627.997574035,24315.18289881307,1111,1290,1014,6923,85873.86482079467
10344,11474275.800622553,24444.37774662789,1197,1235,942,6967,85859.18208084854
10347,11486976.281776719,24277.310414787804,1155,1297,980,6912,85841.41038271542
10350,11441006.876932185,24308.1272453228,1156,1293,975,6923,85829.39565579375
10353,11364700.671255898,24461.20013940816,1145,1240,973,6992,85799.80938854783
10356,11323306.817317648,24195.196258621298,1110,1288,1030,6925,85768.25809595948
10359,11398217.377146704,24263.73933450568,1150,1268,1010,6928,85752.10734432327
10362,11512439.374922663,24093.860443087935,1161,1360,997,6841,85719.78014746205
10365,11519757.410793135,24224.65705509402,1167,1275,995,6925,85676.50576135427
10368,11388868.973282313,24037.19148047725,1108,1335,1064,6858,85647.4169606926
10371,11508253.251819361,24106.427000799056,1152,1317,1029,6870,85625.07341558395
